
杨建军,北京航空航天大学,机械工程及自动化学院,2005-2014 北京航空航天大学 机械制造及自动化学院 副院长，教授，博导。2000-2005 北京航空航天大学 工业与制造系统工程系主任，教授。1993-2000 北京航空航天大学 制造系统研究所，副所长，副教授。1989-1993 北京航空航天大学 制造系统研究所，讲师。北京市 数字化设计制造技术北京市重点实验室 ， 主任。
王春洁,北京航空航天大学,机械工程及自动化学院,数字化设计与制造北京市重点实验室副主任。北京市高级知识分子联谊会理事。
李东升,北京航空航天大学,机械工程及自动化学院,全国冲压学术委员会委员。
张建斌,北京航空航天大学,机械工程及自动化学院,2003年8月至今 北京航空航天大学机械工程学院 机械设计系 教授。
周正干,北京航空航天大学,机械工程及自动化学院,1995.5 至今 北京航空航天大学 机械工程及自动化学院 副教授。与英国布里斯托大学 Bruce Drinkwater 教授。中国机械工程学会无损检测分会 副主任委员。中国声学学会检测声学分会 委员。北京市机械工程学会无损检测分会 委员。
樊　锐,北京航空航天大学,机械工程及自动化学院,1987.7~1991.3 ，北京控制工程研究所，工程师。
丁希仑,北京航空航天大学,机械工程及自动化学院,中国机械工程学会机械设计分会委员等。ASME/IEEE 可重构机构和机器人国际会议 (ReMAR'2012) 的程序委员会主席。
刘静华,北京航空航天大学,机械工程及自动化学院,1975年12月-1976年9月在北京航空航天大学工作任助教。1977年9月-1986年9月在北京航空航天大学工作任助教。1987年9月-1990年8月在北京航空航天大学工作任讲师。1993年3月-1994年7 在北京航空航天大学工作任讲师。工程图学教研室党支部组织委员。1994年3月-2004年7 在北京航空航天大学工作任副教授。工程图学教研室教学副主任。工业设计系党支部书记。2004年7-至今在北京航空航天大学工作任教授。曾任工业设计系党支部书记。任（ 2006-2010年）教育部工程图学教学指导委员会委员。任（ 2013-2017年）教育部工程图学教学指导委员会副主任。任（ 2007-2011年）北京工程图学学会副理事长兼图学教育委员会主任。任（ 2007-2011年）北京高等教育学会理事。北京工程图学教育研究会理事长。任（ 2012-2016年）北京图学学会理事长。2009年教育部国家级教学团队评审专家。2007-2010年为教育部国家级精品课评审专家。
郎利辉,北京航空航天大学,机械工程及自动化学院,2004/12-至今 , 北京航空航天大学教授。2001/11-2004/11, AalborgUniversity 助教授 , 机械工程及自动化学院 , 副教授。中国机械工程学会自动化分会委员。n日本塑性加工学会会员。2003/2004年英国在英联邦华人计算协会执行委员。2005年国际生产力工程学会执行委员。2005年国际生产力工程学会执行委员。期刊 International Journal of Machine Tool and Manufacture 论文评审委员会委员。ICTP2011 国际科学委员会委员。
郭卫东,北京航空航天大学,机械工程及自动化学院,中国机械工业教育协会机械设计制造及自动化分委员会委员。北京市高等教育学会理事。北京市高等教育学会机械原理研究会理事长。
