Name,url
汪玉,http://sfl.sjtu.edu.cn/CN/instructor.aspx?info_lb=111&flag=100
刘成良,http://www.sjtu.edu.cn/info/1710/65924.htm
王成焘,
王安麟,http://xuebao.sjtu.edu.cn/CN/abstract/abstract9033.shtml
王国明,http://www.sjtu.edu.cn/info/1998/65964.htm
林忠钦,http://www.sjtu.edu.cn/info/1018/1021.htm
陈正豪,http://www.robot.sjtu.edu.cn/Gaikuang/Default.aspx?cid=3
陈兆能,http://alumni.sjtu.edu.cn/alumni/xiaoyouhui/show_2.php?id=212
林逸,http://me.sjtu.edu.cn/bkjx/News/showDetail.aspx?tid=1447
丁汉,http://www.sjtu.edu.cn/info/1143/1821.htm
程先华,http://www.sjtu.edu.cn/info/1150/1895.htm
李泽湘,http://www.sjtu.edu.cn/xiaoli/xlactivitylist.jsp?urltype=tree.TreeTempUrl&wbtreeid=1250
华宏星,http://me.sjtu.edu.cn/sz_minglu/showDetail.aspx?cid=4&id=59
范玉顺,http://www.sjtu.edu.cn/info/1592/66576.htm
郭孔辉,http://smse.sjtu.edu.cn/jiaogongminglu.asp
江志斌,http://www.sjtu.edu.cn/info/1999/65970.htm
胡仕新,http://www.sjtu.edu.cn/info/1710/65929.htm
江行全,http://www.sjtu.edu.cn/xbdh/yjdh/gk/xxjj.htm
高峰,http://www.sjtu.edu.cn/info/1143/1812.htm
蒋伟康,http://wkjiang.sjtu.edu.cn/
来新民,http://www.sjtu.edu.cn/info/1139/1533.htm
蒋祖华,http://yzb.sjtu.edu.cn/admission/manual/showDoctorTutorInfo.ahtml?tutorNum=06966
李杰,http://www.sjtu.edu.cn/info/1130/1493.htm
周岱,http://www.sjtu.edu.cn/info/1710/65927.htm
金先龙,http://me.sjtu.edu.cn/sz_minglu/showDetail.aspx?cid=4&id=33
DebasishDutta,
Frank.L.Lewis,http://automation.sjtu.edu.cn/Show.aspx?info_lb=610&info_id=2526&flag=101
陈强,http://www.oec.sjtu.edu.cn/Item/3425.aspx
曹其新,http://robolab.sjtu.edu.cn/
蔡笃铭,http://www.jwc.sjtu.edu.cn/web/sjtu/198015-1980000005313.htm
陈杰,http://me.sjtu.edu.cn/sz_minglu/Default.aspx?cid=4
陈端石,http://me.sjtu.edu.cn/XiaoYou_ml/showMore.aspx?cid=1&id=31&mid=71
陈关龙,http://www.gsut.edu.cn/www/HdClsContentPrint.asp?Id=18090
陈进,http://www.lib.sjtu.edu.cn/index.php?m=content&c=index&a=show&catid=230&id=43
滕锦光,http://www.job.sjtu.edu.cn/eweb/jygl/zpfw.so?modcode=jygl_zpxxck&subsyscode=zpfw&type=searchZpxx&zpxxType=allgzlx
沈为平,http://law.sjtu.edu.cn/TeacherDetail126.aspx
吕子义,http://www.sjtu.edu.cn/xbdh/yjdh/gk.htm
沈水龙,http://naoce.sjtu.edu.cn/zc/1760.html
JamesC.Bean,http://www.sjtu.edu.cn/
王建华,http://naoce.sjtu.edu.cn/zc/1768.html
陈晓宝,http://me.sjtu.edu.cn/XiaoYou_ml/showMore.aspx?cid=1&id=48&mid=112
赵社戌,http://naoce.sjtu.edu.cn/axf/1724.html
钟万勰,http://www.sjtu.edu.cn/info/1266/22349.htm
陈龙珠,http://naoce.sjtu.edu.cn/zc/1730.html
黄醒春,http://naoce.sjtu.edu.cn/zc/1750.html
杜守继,http://naoce.sjtu.edu.cn/zc/2172.html
董石麟,http://naoce.sjtu.edu.cn/081400/2589.html
顾强,http://me.sjtu.edu.cn/sz_gc/showDetail.aspx?cid=10&id=132
葛修润,http://www.sjtu.edu.cn/info/1599/28059.htm
夏小和,http://naoce.sjtu.edu.cn/zc/3065.html
