url,uni,aca,name
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110531155506956631225/20110531155506956631225_.html, 清华大学,自动化系,戴琼海
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419141945355326966/20110419141945355326966_.html, 清华大学,自动化系,陈 峰
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419142544944882788/20110419142544944882788_.html, 清华大学,自动化系,石宗英
http://www.au.tsinghua.edu.cn/publish/au/1714/2013/20130407082114428385629/20130407082114428385629_.html, 清华大学,自动化系,王焕钢
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419143017664332709/20110419143017664332709_.html, 清华大学,自动化系,吴热冰
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110715102626255738410/20110715102626255738410_.html, 清华大学,自动化系,张 靖
http://www.au.tsinghua.edu.cn/publish/au/1714/2016/20160229104743187639705/20160229104743187639705_.html, 清华大学,自动化系,李一鹏
http://cfins.au.tsinghua.edu.cn/personalhg/xhguan/index_cn.htm, 清华大学,自动化系,管晓宏
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110413154632996313801/20110413154632996313801_.html, 清华大学,自动化系,赵千川
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419144217171815327/20110419144217171815327_.html, 清华大学,自动化系,陈 曦
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110519095213139860963/20110519095213139860963_.html, 清华大学,自动化系,贾庆山
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20111230132729575445941/20111230132729575445941_.html, 清华大学,自动化系,夏 俐
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110413155019771740509/20110413155019771740509_.html, 清华大学,自动化系,宋靖雁
http://www.au.tsinghua.edu.cn/publish/au/1714/2016/20160525095846789616184/20160525095846789616184_.html, 清华大学,自动化系,梁  斌
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110413154700555449282/20110413154700555449282_.html, 清华大学,自动化系,程 农
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110412114810133417750/20110412114810133417750_.html, 清华大学,自动化系,李 清
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419134635845252582/20110419134635845252582_.html, 清华大学,自动化系,卓 晴
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110418091836302968541/20110418091836302968541_.html, 清华大学,自动化系,程 朋
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419143803776883049/20110419143803776883049_.html, 清华大学,自动化系,赵明国
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110413154503437266522/20110413154503437266522_.html, 清华大学,自动化系,杨 耕
http://www.au.tsinghua.edu.cn/publish/au/1714/2012/20120428081638830700172/20120428081638830700172_.html, 清华大学,自动化系,陆 耿

